26-04-2018,03:01:03PM,SystemID,SystemClock,BoardName,TelemDelay,TimeOut,Pwr,ADCS,Exp1,BoardName,DH,Exp,Ref,Panel_A,Panel_B,Base,Top_A,Top_B,BoardName,Sep,V_Batt,I_Batt,V_SA,I_SA,I_MB,V_5v,I_5v,V_3v,I_3v,S,T_Batt,T_SA1,T_SA2,BoardName,s_T,s_B,s0,s90,s180,s270,ya,sa,M_X,M_Y,M_Z,A_X,A_Y,A_Z,X,Y,rps_out,rps_cmd,PWM_out,alg,P,I,D,deltaT,db,g,sunA,e,hyst,Eccentricity,SemimajorAxis,Inclination,LongitudeOfAscendingNode,ArgumentOfPeriapsis,True Anomaly,Rotation Speed
26-04-2018,03:01:58PM,VCS3,20:1:56,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,69.995484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,6760.600000,10.000000,0.000000,1.900000,144.000000,0.927835
26-04-2018,03:01:58PM,VCS4,20:1:56,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,70.064868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,6761.600000,11.000000,1.000000,2.900000,169.000000,1.304556
26-04-2018,03:01:58PM,VCS5,20:1:56,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,71.783616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.000000,6762.600000,12.000000,2.000000,3.900000,194.000000,1.219589
26-04-2018,03:02:00PM,ES0,20:2:0,I,4,1,1,1,0,T,29.800000,-4.700000,26.800000,-4.700000,-4.700000,-4.700000,-4.700000,-4.700000,P,0,8.000000,2.000000,0.000000,0.000000,126.000000,5.000000,119.000000,3.000000,3.000000,0,25.000000,23.000000,-4.000000,A,604,49,385,287,516,486,236.600000,0.000000,0.901000,-0.347000,0.543000,0.088000,-0.052000,0.924000,0,0,0.000000,0.000000,0,0,2.000000,0.100000,0.100000,1,10.000000,0.500000,30.000000,5.000000,4.000000,0.000000,6760.600000,0.000000,0.000000,0.000000,7.000000,0.100000
26-04-2018,03:02:02PM,VCS0,20:2:0,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,28.900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,6760.600000,10.000000,0.000000,1.900000,152.000000,0.100000
26-04-2018,03:02:02PM,VCS1,20:2:0,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,54.159208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,6761.600000,11.000000,1.000000,2.900000,181.000000,-0.022238
26-04-2018,03:02:02PM,VCS2,20:2:0,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,68.383360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.000000,6762.600000,12.000000,2.000000,3.900000,210.000000,0.662736
26-04-2018,03:02:02PM,VCS3,20:2:0,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,73.046120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,6760.600000,10.000000,0.000000,1.900000,152.000000,0.762659
26-04-2018,03:02:02PM,VCS4,20:2:0,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,73.247132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,6761.600000,11.000000,1.000000,2.900000,181.000000,0.795566
26-04-2018,03:02:02PM,VCS5,20:2:0,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,75.659044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.000000,6762.600000,12.000000,2.000000,3.900000,210.000000,0.968857
